County,State,Total defense spending in (billions)
GLYNN,GEORGIA,$0.90B
WEST BATON ROUGE,LOUISIANA,$0.89B
GEARY,KANSAS,$0.88B
LIBERTY,GEORGIA,$0.87B
PLAQUEMINES,LOUISIANA,$0.84B
KENT,MICHIGAN,$0.84B
JEFFERSON,TEXAS,$0.84B
BRAZOS,TEXAS,$0.84B
NO COUNTY LISTED,MASSACHUSETTS,$0.83B
GARFIELD,OKLAHOMA,$0.82B
BEAVER,PENNSYLVANIA,$0.82B
PEORIA,ILLINOIS,$0.82B
MONTGOMERY,TENNESSEE,$0.81B
CALHOUN,ARKANSAS,$0.79B
YOLO,CALIFORNIA,$0.79B
SPOKANE,WASHINGTON,$0.79B
LACKAWANNA,PENNSYLVANIA,$0.79B
CACHE,UTAH,$0.78B
JEFFERSON,NEW YORK,$0.78B
MANASSAS CITY,VIRGINIA,$0.77B
ALBANY,NEW YORK,$0.77B
HANCOCK,OHIO,$0.77B
MINERAL,WEST VIRGINIA,$0.77B
WAUKESHA,WISCONSIN,$0.76B
MONROE,WISCONSIN,$0.75B
OUACHITA,ARKANSAS,$0.75B
BEAUFORT,SOUTH CAROLINA,$0.74B
MARION,SOUTH CAROLINA,$0.73B
KLICKITAT,WASHINGTON,$0.72B
OCEAN,NEW JERSEY,$0.72B
CLACKAMAS,OREGON,$0.72B
KINGS,NEW YORK,$0.72B
BERGEN,NEW JERSEY,$0.70B
NORTHAMPTON,PENNSYLVANIA,$0.70B
SAINT TAMMANY,LOUISIANA,$0.69B
LOWNDES,MISSISSIPPI,$0.69B
ALBEMARLE,VIRGINIA,$0.69B
ROCK ISLAND,ILLINOIS,$0.68B
NO COUNTY LISTED,PENNSYLVANIA,$0.68B
CASCADE,MONTANA,$0.68B
MECKLENBURG,NORTH CAROLINA,$0.66B
GUILFORD,NORTH CAROLINA,$0.66B
NEW CASTLE,DELAWARE,$0.65B
TAYLOR,FLORIDA,$0.65B
BUTLER,PENNSYLVANIA,$0.65B
HAMPSHIRE,MASSACHUSETTS,$0.65B
NO COUNTY LISTED,MICHIGAN,$0.64B
LARAMIE,WYOMING,$0.64B
NO COUNTY LISTED,FLORIDA,$0.63B
JOHNSON,MISSOURI,$0.63B
ROANOKE,VIRGINIA,$0.63B
SCOTT,MISSISSIPPI,$0.63B
KINGS,CALIFORNIA,$0.63B
MERCER,NEW JERSEY,$0.62B
QUEENS,NEW YORK,$0.62B
KENTON,KENTUCKY,$0.62B
CLERMONT,OHIO,$0.62B
SOUTHEAST FAIRBANKS,ALASKA,$0.62B
LAFOURCHE,LOUISIANA,$0.62B
LARIMER,COLORADO,$0.62B
FORT BEND,TEXAS,$0.62B
LEE,FLORIDA,$0.61B
HUDSON,NEW JERSEY,$0.60B
ADAMS,COLORADO,$0.60B
NO COUNTY LISTED,VIRGINIA,$0.60B
HANCOCK,MISSISSIPPI,$0.60B
SAINT MARY,LOUISIANA,$0.59B
WORCESTER,MASSACHUSETTS,$0.59B
HINDS,MISSISSIPPI,$0.59B
EAST BATON ROUGE,LOUISIANA,$0.58B
MONROE,PENNSYLVANIA,$0.57B
ISLAND,WASHINGTON,$0.57B
DAVIDSON,TENNESSEE,$0.56B
WARD,NORTH DAKOTA,$0.56B
NO COUNTY LISTED,WASHINGTON,$0.56B
DOUGHERTY,GEORGIA,$0.54B
NO COUNTY LISTED,TEXAS,$0.54B
NO COUNTY LISTED,HAWAII,$0.54B
YORK,VIRGINIA,$0.53B
NO COUNTY LISTED,MINNESOTA,$0.53B
LOWNDES,GEORGIA,$0.53B
COLLIER,FLORIDA,$0.53B
RAMSEY,MINNESOTA,$0.52B
NO COUNTY LISTED,GEORGIA,$0.51B
ONTARIO,NEW YORK,$0.50B
WEXFORD,MICHIGAN,$0.50B
CABO ROJO,PUERTO RICO,$0.50B
GREENVILLE,SOUTH CAROLINA,$0.50B
WEBB,TEXAS,$0.50B
BERKS,PENNSYLVANIA,$0.50B
JOHNSON,KANSAS,$0.49B
ELMORE,IDAHO,$0.49B
NEW HAVEN,CONNECTICUT,$0.48B
ALEUTIANS WEST,ALASKA,$0.48B
STARR,TEXAS,$0.48B
KENT,DELAWARE,$0.48B
CASS,NORTH DAKOTA,$0.48B
TOOELE,UTAH,$0.47B
KAUAI,HAWAII,$0.47B
MARION,OREGON,$0.47B
NO COUNTY LISTED,MARYLAND,$0.47B
CURRY,NEW MEXICO,$0.47B
MIAMI,OHIO,$0.46B
LIVINGSTON,KENTUCKY,$0.46B
MUSCOGEE,GEORGIA,$0.46B
LEON,FLORIDA,$0.45B
BARNSTABLE,MASSACHUSETTS,$0.45B
TAYLOR,TEXAS,$0.44B
NO COUNTY LISTED,INDIANA,$0.44B
SAINT LUCIE,FLORIDA,$0.44B
NO COUNTY LISTED,ARIZONA,$0.43B
SANTA ROSA,FLORIDA,$0.43B
CHESTERFIELD,VIRGINIA,$0.43B
WAYNE,NORTH CAROLINA,$0.42B
GLOUCESTER,NEW JERSEY,$0.42B
INGHAM,MICHIGAN,$0.42B
LEXINGTON,SOUTH CAROLINA,$0.42B
DOUGLAS,NEBRASKA,$0.42B
WYANDOTTE,KANSAS,$0.42B
WILLIAMSON,TENNESSEE,$0.41B
LA CROSSE,WISCONSIN,$0.41B
NO COUNTY LISTED,OHIO,$0.41B
MONROE,FLORIDA,$0.41B
TINIAN,NORTHERN MARIANA ISLANDS,$0.41B
NO COUNTY LISTED,ILLINOIS,$0.41B
LUNA,NEW MEXICO,$0.40B
GRAFTON,NEW HAMPSHIRE,$0.40B
MADISON,ILLINOIS,$0.40B
POLK,IOWA,$0.40B
CALHOUN,MICHIGAN,$0.39B
NO COUNTY LISTED,ALABAMA,$0.39B
DUTCHESS,NEW YORK,$0.39B
LAFAYETTE,MISSISSIPPI,$0.39B
GALVESTON,TEXAS,$0.39B
BRUNSWICK,NORTH CAROLINA,$0.38B
NEW HANOVER,NORTH CAROLINA,$0.38B
VOLUSIA,FLORIDA,$0.38B
SUMMERS,WEST VIRGINIA,$0.38B
NO COUNTY LISTED,NORTH CAROLINA,$0.37B
NO COUNTY LISTED,LOUISIANA,$0.36B
VAL VERDE,TEXAS,$0.36B
SPOTSYLVANIA,VIRGINIA,$0.35B
NO COUNTY LISTED,ARKANSAS,$0.35B
GRAND FORKS,NORTH DAKOTA,$0.35B
LEHIGH,PENNSYLVANIA,$0.35B
JEFFERSON,ALABAMA,$0.35B
SEMINOLE,FLORIDA,$0.35B
SCOTT,IOWA,$0.35B
BARTHOLOMEW,INDIANA,$0.35B
TERREBONNE,LOUISIANA,$0.35B
UNION,SOUTH DAKOTA,$0.34B
TALLADEGA,ALABAMA,$0.34B
UTAH,UTAH,$0.34B
