County,State,Total defense spending in (billions)
WINDHAM,VERMONT,$0.01B
HANCOCK,ILLINOIS,$0.01B
PUTNAM,WEST VIRGINIA,$0.01B
ANDROSCOGGIN,MAINE,$0.01B
HOLMES,FLORIDA,$0.01B
ELLSWORTH,KANSAS,$0.01B
CHEROKEE,NORTH CAROLINA,$0.01B
PICKAWAY,OHIO,$0.01B
JACKSON,ALABAMA,$0.01B
CHATHAM,NORTH CAROLINA,$0.01B
VERNON,WISCONSIN,$0.01B
GREENE,NEW YORK,$0.01B
BRYAN,OKLAHOMA,$0.01B
POSEY,INDIANA,$0.01B
GREENBRIER,WEST VIRGINIA,$0.01B
OSAGE,OKLAHOMA,$0.01B
WAYNE,WEST VIRGINIA,$0.01B
ROCKDALE,GEORGIA,$0.01B
WADE HAMPTON,ALASKA,$0.01B
SHENANDOAH,VIRGINIA,$0.01B
DOÃA ANA,NEW MEXICO,$0.01B
MACON,ALABAMA,$0.01B
NATRONA,WYOMING,$0.01B
SWITZERLAND,INDIANA,$0.01B
OKANOGAN,WASHINGTON,$0.01B
RIO ARRIBA,NEW MEXICO,$0.01B
MILLER,ARKANSAS,$0.01B
LAKE AND PENINSULA,ALASKA,$0.01B
DELTA,COLORADO,$0.01B
VAN BUREN,MICHIGAN,$0.01B
BRADFORD,PENNSYLVANIA,$0.01B
ST. LOUIS (CITY),MISSOURI,$0.01B
PUTNAM,NEW YORK,$0.01B
CHEATHAM,TENNESSEE,$0.01B
HERKIMER,NEW YORK,$0.01B
SUSSEX,NEW JERSEY,$0.01B
SULLIVAN,INDIANA,$0.01B
TIOGA,PENNSYLVANIA,$0.01B
DICKINSON,KANSAS,$0.01B
SULLIVAN,NEW YORK,$0.01B
HURON,OHIO,$0.01B
WARREN,NEW JERSEY,$0.01B
FAULKNER,ARKANSAS,$0.01B
MASSAC,ILLINOIS,$0.01B
BLAINE,MONTANA,$0.01B
PIKE,ALABAMA,$0.01B
ETOWAH,ALABAMA,$0.01B
VERNON,MISSOURI,$0.01B
JOSEPHINE,OREGON,$0.01B
SUSQUEHANNA,PENNSYLVANIA,$0.01B
ISLE OF WIGHT,VIRGINIA,$0.01B
ATCHISON,KANSAS,$0.01B
PULASKI,KENTUCKY,$0.01B
APACHE,ARIZONA,$0.01B
FULTON,OHIO,$0.01B
ANDREWS,TEXAS,$0.01B
RICHARDSON,NEBRASKA,$0.01B
WILKES,NORTH CAROLINA,$0.01B
NEVADA,CALIFORNIA,$0.01B
PIKE,KENTUCKY,$0.01B
WARRICK,INDIANA,$0.01B
FOREST,PENNSYLVANIA,$0.01B
LENOIR,NORTH CAROLINA,$0.01B
MARION,ILLINOIS,$0.01B
MCCRACKEN,KENTUCKY,$0.01B
MARSHALL,IOWA,$0.01B
STODDARD,MISSOURI,$0.01B
NARANJITO,PUERTO RICO,$0.01B
MONROE,TENNESSEE,$0.01B
LOGAN,ARKANSAS,$0.01B
BROOKINGS,SOUTH DAKOTA,$0.01B
DE KALB,ALABAMA,$0.01B
SAINT CLAIR,ALABAMA,$0.01B
RUTHERFORD,NORTH CAROLINA,$0.01B
ELKO,NEVADA,$0.01B
CLARENDON,SOUTH CAROLINA,$0.01B
MACON,NORTH CAROLINA,$0.01B
ANGELINA,TEXAS,$0.01B
BAY,MICHIGAN,$0.01B
OSAGE,KANSAS,$0.01B
STANLEY,SOUTH DAKOTA,$0.01B
BANNOCK,IDAHO,$0.01B
TAOS,NEW MEXICO,$0.01B
TRANSYLVANIA,NORTH CAROLINA,$0.01B
INDIAN RIVER,FLORIDA,$0.01B
MADISON,VIRGINIA,$0.01B
NORFOLK (CITY),VIRGINIA,$0.01B
BELL,KENTUCKY,$0.01B
SPENCER,KENTUCKY,$0.01B
DELAWARE,NEW YORK,$0.01B
BLAND,VIRGINIA,$0.01B
NEWPORT NEWS (CITY),VIRGINIA,$0.01B
FAIRFAX (CITY),VIRGINIA,$0.01B
GILPIN,COLORADO,$0.01B
HARRISON,OHIO,$0.01B
LA PLATA,COLORADO,$0.01B
LITTLE RIVER,ARKANSAS,$0.01B
COLORADO,TEXAS,$0.01B
DEL NORTE,CALIFORNIA,$0.01B
RANDOLPH,NORTH CAROLINA,$0.01B
SURRY,NORTH CAROLINA,$0.01B
WRANGELL PETERSBURG,ALASKA,$0.01B
MORROW,OREGON,$0.01B
TUNICA,MISSISSIPPI,$0.01B
WHITESIDE,ILLINOIS,$0.01B
VENANGO,PENNSYLVANIA,$0.01B
ASHE,NORTH CAROLINA,$0.01B
MERCER,OHIO,$0.01B
HAINES,ALASKA,$0.01B
POTTAWATOMIE,KANSAS,$0.01B
EDDY,NEW MEXICO,$0.01B
YAVAPAI,ARIZONA,$0.01B
BLOUNT,ALABAMA,$0.01B
BRAXTON,WEST VIRGINIA,$0.01B
CLARK,KENTUCKY,$0.01B
WRIGHT,MISSOURI,$0.01B
SHOSHONE,IDAHO,$0.01B
HARRISON,IOWA,$0.01B
PULASKI,VIRGINIA,$0.01B
BIENVILLE,LOUISIANA,$0.01B
WAYNE,INDIANA,$0.01B
CHARLES CITY,VIRGINIA,$0.01B
MADERA,CALIFORNIA,$0.01B
AITKIN,MINNESOTA,$0.01B
GRANVILLE,NORTH CAROLINA,$0.01B
NOME (CA),ALASKA,$0.01B
MCPHERSON,KANSAS,$0.01B
TAZEWELL,VIRGINIA,$0.01B
ORANGE,VIRGINIA,$0.01B
GILES,TENNESSEE,$0.01B
WARREN,VIRGINIA,$0.01B
SAINTE GENEVIEVE,MISSOURI,$0.01B
GARFIELD,COLORADO,$0.01B
CRENSHAW,ALABAMA,$0.01B
JENNINGS,INDIANA,$0.01B
HUNTINGTON,INDIANA,$0.01B
VIRGINIA BEACH (CITY),VIRGINIA,$0.01B
GREENE,ARKANSAS,$0.01B
CLARK,ARKANSAS,$0.01B
SCOTT,INDIANA,$0.01B
MONITEAU,MISSOURI,$0.01B
CLAIBORNE,TENNESSEE,$0.01B
PAGE,VIRGINIA,$0.01B
WESTMORELAND,VIRGINIA,$0.01B
RAPPAHANNOCK,VIRGINIA,$0.01B
COLUMBIA,OREGON,$0.01B
CHEYENNE,NEBRASKA,$0.01B
RICE,MINNESOTA,$0.01B
MONROE,MISSOURI,$0.01B
HUMACAO,PUERTO RICO,$0.01B
MAURY,TENNESSEE,$0.01B
KIMBALL,NEBRASKA,$0.01B
BARREN,KENTUCKY,$0.01B
DECATUR,GEORGIA,$0.01B
CLINTON,PENNSYLVANIA,$0.01B
DUVAL,TEXAS,$0.01B
LAKE,CALIFORNIA,$0.01B
ALLEN,LOUISIANA,$0.01B
EDMONSON,KENTUCKY,$0.01B
RUSSELL,ALABAMA,$0.01B
RAVALLI,MONTANA,$0.01B
GRAYSON,KENTUCKY,$0.01B
DICKSON,TENNESSEE,$0.01B
HIDALGO,NEW MEXICO,$0.01B
MORROW,OHIO,$0.01B
MARATHON,WISCONSIN,$0.01B
MADISON,INDIANA,$0.01B
WABASHA,MINNESOTA,$0.01B
WILSON,TENNESSEE,$0.01B
CHEROKEE,KANSAS,$0.01B
BLAINE,OKLAHOMA,$0.01B
HAMPTON (CITY),VIRGINIA,$0.01B
DILLINGHAM,ALASKA,$0.01B
POLK,ARKANSAS,$0.01B
MONROE,ILLINOIS,$0.01B
PAULDING,OHIO,$0.01B
WASHINGTON,WISCONSIN,$0.01B
HOPKINS,TEXAS,$0.01B
PIKE,ILLINOIS,$0.01B
WAGONER,OKLAHOMA,$0.01B
DORADO,PUERTO RICO,$0.01B
SHAWANO,WISCONSIN,$0.01B
STEPHENSON,ILLINOIS,$0.01B
PRINCE EDWARD,VIRGINIA,$0.01B
CLAY,ARKANSAS,$0.01B
MCINTOSH,OKLAHOMA,$0.01B
OCONEE,SOUTH CAROLINA,$0.01B
ONEIDA,WISCONSIN,$0.01B
APPOMATTOX,VIRGINIA,$0.01B
FRANKLIN,MISSOURI,$0.01B
PERRY,MISSOURI,$0.01B
YATES,NEW YORK,$0.01B
COSHOCTON,OHIO,$0.00B
NEZ PERCE,IDAHO,$0.00B
SANDERS,MONTANA,$0.00B
WOOD,WEST VIRGINIA,$0.00B
CAGUAS,PUERTO RICO,$0.00B
TOA BAJA,PUERTO RICO,$0.00B
ALLAMAKEE,IOWA,$0.00B
GRANT,NEW MEXICO,$0.00B
CULEBRA,PUERTO RICO,$0.00B
BATH,VIRGINIA,$0.00B
FRANKLIN,GEORGIA,$0.00B
COAHOMA,MISSISSIPPI,$0.00B
COFFEY,KANSAS,$0.00B
SNYDER,PENNSYLVANIA,$0.00B
LAURENS,SOUTH CAROLINA,$0.00B
PALO PINTO,TEXAS,$0.00B
WASHINGTON,OKLAHOMA,$0.00B
DOUGLAS,OREGON,$0.00B
WAKULLA,FLORIDA,$0.00B
HOOD,TEXAS,$0.00B
GEORGETOWN,SOUTH CAROLINA,$0.00B
DARLINGTON,SOUTH CAROLINA,$0.00B
CUMBERLAND,TENNESSEE,$0.00B
MODOC,CALIFORNIA,$0.00B
BEAVERHEAD,MONTANA,$0.00B
SUMMIT,COLORADO,$0.00B
HOUSTON,MINNESOTA,$0.00B
SHANNON,SOUTH DAKOTA,$0.00B
CEDAR,MISSOURI,$0.00B
FRANKLIN CITY,VIRGINIA,$0.00B
ALEUTIANS WEST (CA),ALASKA,$0.00B
PETTIS,MISSOURI,$0.00B
TELLER,COLORADO,$0.00B
APPANOOSE,IOWA,$0.00B
RED RIVER,TEXAS,$0.00B
JOHNSON,TENNESSEE,$0.00B
BROWN,TEXAS,$0.00B
HENDERSON,NORTH CAROLINA,$0.00B
MONROE,WEST VIRGINIA,$0.00B
WARREN,MISSOURI,$0.00B
TALBOT,GEORGIA,$0.00B
MCLEAN,ILLINOIS,$0.00B
ALLEGANY,MARYLAND,$0.00B
TYLER,WEST VIRGINIA,$0.00B
SUWANNEE,FLORIDA,$0.00B
FANNIN,TEXAS,$0.00B
LAC QUI PARLE,MINNESOTA,$0.00B
MORRIS,KANSAS,$0.00B
MERCER,NORTH DAKOTA,$0.00B
VALDEZ CORDOVA,ALASKA,$0.00B
LAWRENCE,PENNSYLVANIA,$0.00B
LEE,IOWA,$0.00B
FULTON,ILLINOIS,$0.00B
UPSHUR,TEXAS,$0.00B
LAFAYETTE,ARKANSAS,$0.00B
BRULE,SOUTH DAKOTA,$0.00B
MONTGOMERY,KANSAS,$0.00B
NATCHITOCHES,LOUISIANA,$0.00B
CALDWELL,LOUISIANA,$0.00B
RALEIGH,WEST VIRGINIA,$0.00B
LYMAN,SOUTH DAKOTA,$0.00B
BEAUFORT,NORTH CAROLINA,$0.00B
LAUDERDALE,TENNESSEE,$0.00B
CHISAGO,MINNESOTA,$0.00B
PARK,WYOMING,$0.00B
CLARK,INDIANA,$0.00B
MACOUPIN,ILLINOIS,$0.00B
CASS,ILLINOIS,$0.00B
DUCHESNE,UTAH,$0.00B
CRAWFORD,WISCONSIN,$0.00B
LUCAS,IOWA,$0.00B
JONES,MISSISSIPPI,$0.00B
LOGAN,OKLAHOMA,$0.00B
LATAH,IDAHO,$0.00B
EAGLE,COLORADO,$0.00B
LAMAR,MISSISSIPPI,$0.00B
FARIBAULT,MINNESOTA,$0.00B
UNION,OHIO,$0.00B
CHUGACH,ALASKA,$0.00B
TWIN FALLS,IDAHO,$0.00B
LINCOLN,KANSAS,$0.00B
WILCOX,ALABAMA,$0.00B
GRAHAM,ARIZONA,$0.00B
NOWATA,OKLAHOMA,$0.00B
COOSA,ALABAMA,$0.00B
MISSISSIPPI,MISSOURI,$0.00B
CALHOUN,MISSISSIPPI,$0.00B
GOOCHLAND,VIRGINIA,$0.00B
MONTGOMERY,ILLINOIS,$0.00B
FREMONT,COLORADO,$0.00B
MARENGO,ALABAMA,$0.00B
PETERSBURG (CITY),VIRGINIA,$0.00B
RIO GRANDE,PUERTO RICO,$0.00B
LAPEER,MICHIGAN,$0.00B
MONROE,MISSISSIPPI,$0.00B
CLEARFIELD,PENNSYLVANIA,$0.00B
NODAWAY,MISSOURI,$0.00B
MACON,ILLINOIS,$0.00B
WARREN,IOWA,$0.00B
ULSTER,NEW YORK,$0.00B
HOLT,MISSOURI,$0.00B
TREMPEALEAU,WISCONSIN,$0.00B
PERRY,KENTUCKY,$0.00B
NESHOBA,MISSISSIPPI,$0.00B
SCOTTS BLUFF,NEBRASKA,$0.00B
CHEROKEE,SOUTH CAROLINA,$0.00B
MORGAN,UTAH,$0.00B
FREMONT,WYOMING,$0.00B
PRINCE OF WALES-HYDER (CA),ALASKA,$0.00B
LINCOLN,SOUTH DAKOTA,$0.00B
FLORENCE,SOUTH CAROLINA,$0.00B
CLARKE,ALABAMA,$0.00B
MONROE,ALABAMA,$0.00B
WALWORTH,WISCONSIN,$0.00B
CIBOLA,NEW MEXICO,$0.00B
BARAGA,MICHIGAN,$0.00B
MCNAIRY,TENNESSEE,$0.00B
VILAS,WISCONSIN,$0.00B
MARQUETTE,WISCONSIN,$0.00B
MARION,TEXAS,$0.00B
CHILTON,ALABAMA,$0.00B
LUQUILLO,PUERTO RICO,$0.00B
HASKELL,TEXAS,$0.00B
SALINE,ILLINOIS,$0.00B
DODGE,GEORGIA,$0.00B
MITCHELL,IOWA,$0.00B
DIXON,NEBRASKA,$0.00B
NAVAJO,ARIZONA,$0.00B
LINCOLN,NORTH CAROLINA,$0.00B
JASPER,GEORGIA,$0.00B
CHEBOYGAN,MICHIGAN,$0.00B
MADISON,OHIO,$0.00B
SCOTLAND,NORTH CAROLINA,$0.00B
HENRY,ALABAMA,$0.00B
MCKENZIE,NORTH DAKOTA,$0.00B
LIVINGSTON,LOUISIANA,$0.00B
MANISTEE,MICHIGAN,$0.00B
GREENE,INDIANA,$0.00B
CARTER,OKLAHOMA,$0.00B
SPENCER,INDIANA,$0.00B
LOGAN,OHIO,$0.00B
DODGE,NEBRASKA,$0.00B
HAYWOOD,NORTH CAROLINA,$0.00B
ROOSEVELT,NEW MEXICO,$0.00B
GAGE,NEBRASKA,$0.00B
BARNWELL,SOUTH CAROLINA,$0.00B
MOHAVE,ARIZONA,$0.00B
SAN JUAN,WASHINGTON,$0.00B
JACKSON,IOWA,$0.00B
UPSHUR,WEST VIRGINIA,$0.00B
SEVIER,ARKANSAS,$0.00B
SOMERSET,MAINE,$0.00B
YORK,NEBRASKA,$0.00B
GRAND,UTAH,$0.00B
COOPER,MISSOURI,$0.00B
ALEXANDRIA (CITY),VIRGINIA,$0.00B
GREENWOOD,KANSAS,$0.00B
LANGLADE,WISCONSIN,$0.00B
PEND OREILLE,WASHINGTON,$0.00B
DIXIE,FLORIDA,$0.00B
GREENE,IOWA,$0.00B
ROUTT,COLORADO,$0.00B
TAYLOR,WEST VIRGINIA,$0.00B
NEOSHO,KANSAS,$0.00B
HARRIS,GEORGIA,$0.00B
CLARK,MISSOURI,$0.00B
BOTETOURT,VIRGINIA,$0.00B
BLACK HAWK,IOWA,$0.00B
PERQUIMANS,NORTH CAROLINA,$0.00B
STONE,MISSOURI,$0.00B
ESSEX,VIRGINIA,$0.00B
CRAIGHEAD,ARKANSAS,$0.00B
UNION,PENNSYLVANIA,$0.00B
AMADOR,CALIFORNIA,$0.00B
FALL RIVER,SOUTH DAKOTA,$0.00B
GUAYANILLA,PUERTO RICO,$0.00B
BRUNSWICK,VIRGINIA,$0.00B
SCOTT,KENTUCKY,$0.00B
PORTAGE,WISCONSIN,$0.00B
NAVARRO,TEXAS,$0.00B
COMANCHE,TEXAS,$0.00B
CARLTON,MINNESOTA,$0.00B
BARNES,NORTH DAKOTA,$0.00B
JUNIATA,PENNSYLVANIA,$0.00B
BROWN,INDIANA,$0.00B
JEFFERSON,OHIO,$0.00B
PIKE,ARKANSAS,$0.00B
MILLE LACS,MINNESOTA,$0.00B
COLUSA,CALIFORNIA,$0.00B
PENDER,NORTH CAROLINA,$0.00B
POTTER,PENNSYLVANIA,$0.00B
VAN ZANDT,TEXAS,$0.00B
SPINK,SOUTH DAKOTA,$0.00B
DELAWARE,INDIANA,$0.00B
GENESEE,NEW YORK,$0.00B
PICKETT,TENNESSEE,$0.00B
MONTGOMERY,MISSOURI,$0.00B
CAMPBELL,KENTUCKY,$0.00B
LAPORTE,INDIANA,$0.00B
ORANGE,INDIANA,$0.00B
MEDINA,TEXAS,$0.00B
WAHKIAKUM,WASHINGTON,$0.00B
GREGORY,SOUTH DAKOTA,$0.00B
UNION,GEORGIA,$0.00B
FERGUS,MONTANA,$0.00B
SAN JUAN,NEW MEXICO,$0.00B
STEELE,MINNESOTA,$0.00B
BURLESON,TEXAS,$0.00B
PLYMOUTH,IOWA,$0.00B
RANSOM,NORTH DAKOTA,$0.00B
SAN PATRICIO,TEXAS,$0.00B
LEELANAU,MICHIGAN,$0.00B
SCHOOLCRAFT,MICHIGAN,$0.00B
RUSK,TEXAS,$0.00B
SALINE,ARKANSAS,$0.00B
MARIPOSA,CALIFORNIA,$0.00B
SHERMAN,NEBRASKA,$0.00B
CALAVERAS,CALIFORNIA,$0.00B
NORTHWEST ARCTIC,ALASKA,$0.00B
KNOX,MAINE,$0.00B
ROANE,WEST VIRGINIA,$0.00B
PITKIN,COLORADO,$0.00B
WILLIAMSBURG (CITY),VIRGINIA,$0.00B
HOWARD,MISSOURI,$0.00B
ROWAN,NORTH CAROLINA,$0.00B
ROOSEVELT,MONTANA,$0.00B
DISTRICT OF COLUMBIA,VIRGINIA,$0.00B
BUCKINGHAM,VIRGINIA,$0.00B
JEFFERSON,KANSAS,$0.00B
BOURBON,KANSAS,$0.00B
MORRIS,TEXAS,$0.00B
SCOTT,MINNESOTA,$0.00B
PUSHMATAHA,OKLAHOMA,$0.00B
TITUS,TEXAS,$0.00B
DEKALB,ILLINOIS,$0.00B
DAVIESS,KENTUCKY,$0.00B
GREGG,TEXAS,$0.00B
HARDIN,TENNESSEE,$0.00B
CASWELL,NORTH CAROLINA,$0.00B
LAKE,MINNESOTA,$0.00B
DELTA,TEXAS,$0.00B
CLARION,PENNSYLVANIA,$0.00B
LYON,KANSAS,$0.00B
SKAGWAY HOONAH ANGOON,ALASKA,$0.00B
BEE,TEXAS,$0.00B
HILL,TEXAS,$0.00B
WASHINGTON,IDAHO,$0.00B
VICTORIA,TEXAS,$0.00B
DICKEY,NORTH DAKOTA,$0.00B
LINCOLN,TENNESSEE,$0.00B
AUTAUGA,ALABAMA,$0.00B
LEWIS,WASHINGTON,$0.00B
JO DAVIESS,ILLINOIS,$0.00B
IRON,MICHIGAN,$0.00B
SUMNER,KANSAS,$0.00B
TYLER,TEXAS,$0.00B
MONROE,OHIO,$0.00B
VANCE,NORTH CAROLINA,$0.00B
CASS,INDIANA,$0.00B
GUADALUPE,NEW MEXICO,$0.00B
WEBSTER,IOWA,$0.00B
HENDERSON,ILLINOIS,$0.00B
RANDOLPH,MISSOURI,$0.00B
TETON,IDAHO,$0.00B
VALENCIA,NEW MEXICO,$0.00B
GOODING,IDAHO,$0.00B
ROSS,OHIO,$0.00B
WHITE,ILLINOIS,$0.00B
IDAHO,IDAHO,$0.00B
BARROW,GEORGIA,$0.00B
STEVENS,WASHINGTON,$0.00B
FRANKLIN,VIRGINIA,$0.00B
MARION,OHIO,$0.00B
HANCOCK,IOWA,$0.00B
BOYD,KENTUCKY,$0.00B
JEFFERSON,OKLAHOMA,$0.00B
NEWTON,GEORGIA,$0.00B
JEFFERSON,OREGON,$0.00B
AIBONITO,PUERTO RICO,$0.00B
HARPER,KANSAS,$0.00B
CITRUS,FLORIDA,$0.00B
CODINGTON,SOUTH DAKOTA,$0.00B
MASON,ILLINOIS,$0.00B
FREEBORN,MINNESOTA,$0.00B
KEARNEY,NEBRASKA,$0.00B
POPE,MINNESOTA,$0.00B
MONTROSE,COLORADO,$0.00B
HICKORY,MISSOURI,$0.00B
LONOKE,ARKANSAS,$0.00B
MAYAGÃEZ,PUERTO RICO,$0.00B
KARNES,TEXAS,$0.00B
NOLAN,TEXAS,$0.00B
PONTOTOC,OKLAHOMA,$0.00B
BENTON,MINNESOTA,$0.00B
SAC,IOWA,$0.00B
SCHUYLER,NEW YORK,$0.00B
ACADIA,LOUISIANA,$0.00B
SCHUYLKILL,PENNSYLVANIA,$0.00B
BROWN,MINNESOTA,$0.00B
MCLEOD,MINNESOTA,$0.00B
RICE,KANSAS,$0.00B
COLEMAN,TEXAS,$0.00B
OTTAWA,OKLAHOMA,$0.00B
ITASCA,MINNESOTA,$0.00B
GREENLEE,ARIZONA,$0.00B
ECHOLS,GEORGIA,$0.00B
BEAUREGARD,LOUISIANA,$0.00B
CLINTON,KENTUCKY,$0.00B
CARROLL,MISSOURI,$0.00B
CASS,MINNESOTA,$0.00B
THOMAS,GEORGIA,$0.00B
LINCOLN,OREGON,$0.00B
SEWARD,KANSAS,$0.00B
MINER,SOUTH DAKOTA,$0.00B
MARION,KENTUCKY,$0.00B
BENNINGTON,VERMONT,$0.00B
CRAWFORD,INDIANA,$0.00B
CUMING,NEBRASKA,$0.00B
MARSHALL,OKLAHOMA,$0.00B
FRANKLIN,MAINE,$0.00B
COLUMBIA,NEW YORK,$0.00B
CLAY,IOWA,$0.00B
ATASCOSA,TEXAS,$0.00B
FINNEY,KANSAS,$0.00B
ELLIS,KANSAS,$0.00B
WASHINGTON,NEBRASKA,$0.00B
HOWARD,ARKANSAS,$0.00B
GURABO,PUERTO RICO,$0.00B
ERATH,TEXAS,$0.00B
CAPITOL,CONNECTICUT,$0.00B
REEVES,TEXAS,$0.00B
BALDWIN,GEORGIA,$0.00B
POPE,ILLINOIS,$0.00B
HOLMES,MISSISSIPPI,$0.00B
KENT,MARYLAND,$0.00B
PRESQUE ISLE,MICHIGAN,$0.00B
WRIGHT,MINNESOTA,$0.00B
HALIFAX,NORTH CAROLINA,$0.00B
FLUVANNA,VIRGINIA,$0.00B
JEFFERSON,PENNSYLVANIA,$0.00B
OCONTO,WISCONSIN,$0.00B
PENDLETON,WEST VIRGINIA,$0.00B
TEXAS,OKLAHOMA,$0.00B
RUSSELL,KANSAS,$0.00B
DODGE,WISCONSIN,$0.00B
DELTA,MICHIGAN,$0.00B
CHOCTAW,OKLAHOMA,$0.00B
RAY,MISSOURI,$0.00B
NEMAHA,NEBRASKA,$0.00B
NELSON,VIRGINIA,$0.00B
CLAY,SOUTH DAKOTA,$0.00B
CIMARRON,OKLAHOMA,$0.00B
PERRY,ARKANSAS,$0.00B
SHELBY,OHIO,$0.00B
LAMOILLE,VERMONT,$0.00B
WASHINGTON,FLORIDA,$0.00B
WARE,GEORGIA,$0.00B
GRANT,INDIANA,$0.00B
FAYETTE,ILLINOIS,$0.00B
SCOTT,MISSOURI,$0.00B
BOURBON,KENTUCKY,$0.00B
ASHLAND,OHIO,$0.00B
KNOX,KENTUCKY,$0.00B
SHELBY,TEXAS,$0.00B
SISKIYOU,CALIFORNIA,$0.00B
STEWART,TENNESSEE,$0.00B
HOWARD,TEXAS,$0.00B
MONTGOMERY,INDIANA,$0.00B
NEW KENT,VIRGINIA,$0.00B
TODD,KENTUCKY,$0.00B
WEBSTER,MISSOURI,$0.00B
LINCOLN,ARKANSAS,$0.00B
HARRISON,INDIANA,$0.00B
SOUTHEASTERN CONNECTICUT,CONNECTICUT,$0.00B
GEM,IDAHO,$0.00B
COPPER RIVER,ALASKA,$0.00B
BURNET,TEXAS,$0.00B
WALKER,ALABAMA,$0.00B
WOODWARD,OKLAHOMA,$0.00B
UINTA,WYOMING,$0.00B
CUSTER,OKLAHOMA,$0.00B
HITCHCOCK,NEBRASKA,$0.00B
STEUBEN,INDIANA,$0.00B
INYO,CALIFORNIA,$0.00B
TEHAMA,CALIFORNIA,$0.00B
POLK,OREGON,$0.00B
BROWN,SOUTH DAKOTA,$0.00B
PIKE,OHIO,$0.00B
PAWNEE,OKLAHOMA,$0.00B
MORTON,NORTH DAKOTA,$0.00B
BETHEL (CA),ALASKA,$0.00B
ISABELLA,MICHIGAN,$0.00B
TEXAS,MISSOURI,$0.00B
BENTON,TENNESSEE,$0.00B
MEIGS,TENNESSEE,$0.00B
MCDUFFIE,GEORGIA,$0.00B
PERRY,OHIO,$0.00B
MADISON,NORTH CAROLINA,$0.00B
MAHNOMEN,MINNESOTA,$0.00B
MATANUSKA-SUSITNA,ALASKA,$0.00B
PENUELAS,PUERTO RICO,$0.00B
FULTON,NEW YORK,$0.00B
BUENA VISTA CITY,VIRGINIA,$0.00B
LINN,MISSOURI,$0.00B
MACON,MISSOURI,$0.00B
WISE,VIRGINIA,$0.00B
LAMPASAS,TEXAS,$0.00B
BOONE,IOWA,$0.00B
ELMORE,ALABAMA,$0.00B
LEE,SOUTH CAROLINA,$0.00B
TRINITY,TEXAS,$0.00B
HAMPSHIRE,WEST VIRGINIA,$0.00B
PARKE,INDIANA,$0.00B
BAYFIELD,WISCONSIN,$0.00B
KANDIYOHI,MINNESOTA,$0.00B
LEWIS,WEST VIRGINIA,$0.00B
HOT SPRING,ARKANSAS,$0.00B
MOFFAT,COLORADO,$0.00B
KANKAKEE,ILLINOIS,$0.00B
MARION,TENNESSEE,$0.00B
JONES,IOWA,$0.00B
ROCKCASTLE,KENTUCKY,$0.00B
FEDERATED STATES OF MICRO,FEDERATED STATES OF MICRONESIA,$0.00B
POWHATAN,VIRGINIA,$0.00B
CLAY,WEST VIRGINIA,$0.00B
GRANT,WISCONSIN,$0.00B
ESSEX,NEW YORK,$0.00B
ALLEGHANY,NORTH CAROLINA,$0.00B
ANSON,NORTH CAROLINA,$0.00B
GRANT,KENTUCKY,$0.00B
MENARD,ILLINOIS,$0.00B
WASHINGTON,VIRGINIA,$0.00B
BARTON,KANSAS,$0.00B
WELLS,INDIANA,$0.00B
SANILAC,MICHIGAN,$0.00B
LARES,PUERTO RICO,$0.00B
GREENE,ILLINOIS,$0.00B
PRINCE WALES KETCHIKAN,ALASKA,$0.00B
FORD,KANSAS,$0.00B
CAROLINE,MARYLAND,$0.00B
GILMER,WEST VIRGINIA,$0.00B
ATTALA,MISSISSIPPI,$0.00B
MIDDLESEX,VIRGINIA,$0.00B
LOUISA,IOWA,$0.00B
BLUE EARTH,MINNESOTA,$0.00B
POINSETT,ARKANSAS,$0.00B
COLLETON,SOUTH CAROLINA,$0.00B
LAWRENCE,MISSOURI,$0.00B
CRAWFORD,ARKANSAS,$0.00B
BOLIVAR,MISSISSIPPI,$0.00B
CHELAN,WASHINGTON,$0.00B
SOUTHAMPTON,VIRGINIA,$0.00B
SANTA ISABEL,PUERTO RICO,$0.00B
ROWAN,KENTUCKY,$0.00B
SANTA CRUZ,ARIZONA,$0.00B
CARSON CITY (CITY),NEVADA,$0.00B
WISE,TEXAS,$0.00B
JACKSON,KANSAS,$0.00B
KAUFMAN,TEXAS,$0.00B
INDEPENDENCE,ARKANSAS,$0.00B
PLATTE,NEBRASKA,$0.00B
CHOWAN,NORTH CAROLINA,$0.00B
MUSSELSHELL,MONTANA,$0.00B
SANPETE,UTAH,$0.00B
MONTOUR,PENNSYLVANIA,$0.00B
BELTRAMI,MINNESOTA,$0.00B
HARDY,WEST VIRGINIA,$0.00B
ST. LAWRENCE,NEW YORK,$0.00B
GOLIAD,TEXAS,$0.00B
ALLEN,KENTUCKY,$0.00B
WALTHALL,MISSISSIPPI,$0.00B
YADKIN,NORTH CAROLINA,$0.00B
JOHNSON,NEBRASKA,$0.00B
BULLITT,KENTUCKY,$0.00B
RENO,KANSAS,$0.00B
DOUGLAS,ILLINOIS,$0.00B
GASCONADE,MISSOURI,$0.00B
SULLY,SOUTH DAKOTA,$0.00B
CHOCTAW,MISSISSIPPI,$0.00B
NOBLE,INDIANA,$0.00B
PHILLIPS,MONTANA,$0.00B
HUMBOLDT,NEVADA,$0.00B
WILSON,TEXAS,$0.00B
COLUMBIA,PENNSYLVANIA,$0.00B
JEFFERSON DAVIS,LOUISIANA,$0.00B
